ID,SHORT_NAME,NAME,COMPANY_TYPE,ADDRESS,FK_SEMESTER_ID,FK_ADVISER_ID,EMAIL,,
4,ActionSoft,ActionSoft  S.R.L.,SRL,Jordan y Oquendo,1,1,actionsoft@trashmail.top,,
5,AGAAK development SRL,AGAAK,SRL,Jordan y Oquendo,2,1,agaak@trashmail.top,,
6,ANKA SOFT,ANKA SOFT SRL,SRL,Jordan y Oquendo,3,1,ankasoft@trashmail.top,,
7,Ant Work,Ant Work SRL,SRL,Jordan y Oquendo,4,1,antwork@trashmail.top,,
8,ARES,ARES S.R.L.,SRL,Jordan y Oquendo,2,1,ares@trashmail.top,,
9,AT&P,AT&P SRL,SRL,Jordan y Oquendo,2,1,at&p@trashmail.top,,
10,Atom,Atom Software SRL,SRL,Jordan y Oquendo,3,1,atom@trashmail.top,,
11,BeDevs S.R.L.,BeDevs S-R-L.,SRL,Jordan y Oquendo,4,1,bedevss-r-l@trashmail.top,,
12,BH Soft,Bit Hunter Soft SRL,SRL,Jordan y Oquendo,2,1,bhsoft@trashmail.top,,
13,Bittle SRL,Bittle SRL,SRL,Jordan y Oquendo,2,1,bittlesrl@trashmail.top,,
14,Boost Soft,Boost Soft,SRL,Jordan y Oquendo,3,1,boostsoft@trashmail.top,,
15,Boy's Code,Boy's Code SRL,SRL,Jordan y Oquendo,4,1,boyscode@trashmail.top,,
16,BRAIN SOFT,BRAIN SOFT SRL,SRL,Jordan y Oquendo,2,1,brainsoft@trashmail.top,,
17,Brave Soft,Brave software solutions,SRL,Jordan y Oquendo,2,1,bravesoft@trashmail.top,,
18,Building Soft,Building Soft,SRL,Jordan y Oquendo,3,1,buildingsoft@trashmail.top,,
19,Burgos Soft,BURGOS SOFT S.R.L.,SRL,Jordan y Oquendo,4,1,burgossoft@trashmail.top,,
20,CaniSoft SRL,CaniSoft SRL,SRL,Jordan y Oquendo,2,1,canisoftsrl@trashmail.top,,
21,Capsule,Capsule SRL,SRL,Jordan y Oquendo,2,1,capsule@trashmail.top,,
22,CAS S.R.L.,Cochabamba Automática Soft S.R.L.,SRL,Jordan y Oquendo,3,1,cassrl@trashmail.top,,
23,Cassiopeia,Cassiopeia,SRL,Jordan y Oquendo,4,1,cassiopeia@trashmail.top,,
24,Chameleon Code,Chameleon Code Software S.R.L,SRL,Jordan y Oquendo,2,1,chameleoncode@trashmail.top,,
25,CHR SRL,Compumundo Hipermega Red SRL,SRL,Jordan y Oquendo,2,1,chrsrl@trashmail.top,,
26,CISOFT,CISOFT SRL,SRL,Jordan y Oquendo,3,1,cisoft@trashmail.top,,
27,CLASSSOFT SRL,CLASSSOFT SRL,SRL,Jordan y Oquendo,4,1,classsoftsrl@trashmail.top,,
28,Codigo Enigma S.R.L.,Codigo Enigma S.R.L.,SRL,Jordan y Oquendo,2,1,codigoenigmasrl@trashmail.top,,
29,COLECTIVO,COLECTIVO VIRTUAL SRL,SRL,Jordan y Oquendo,2,1,colectivo@trashmail.top,,
30,ControlZ,ControlZ,SRL,Jordan y Oquendo,3,1,controlz@trashmail.top,,
31,"Corporación de Software y Tecnología
SRL",CST,SRL,Jordan y Oquendo,4,1,cst@trashmail.top,,
32,CREATIVESOFT,SOFTWARE CREATIVO,SRL,Jordan y Oquendo,2,1,creativesoft@trashmail.top,,
33,CTRLS SRL,Controlled Solutions SRL,SRL,Jordan y Oquendo,2,1,ctrlssrl@trashmail.top,,
34,D.A.C. S.A,Dream Act Create S.A.,SA,Jordan y Oquendo,3,1,dacsa@trashmail.top,,
35,DDS,Digital Development Soft,SRL,Jordan y Oquendo,4,1,dds@trashmail.top,,
36,DecSoft,DecSoft SRL,SRL,Jordan y Oquendo,2,1,decsoft@trashmail.top,,
37,Delfos SRL,Delfos Soft SRL,SRL,Jordan y Oquendo,2,1,delfossrl@trashmail.top,,
38,DEVS,DEVS GROUP SRL,SRL,Jordan y Oquendo,3,1,devs@trashmail.top,,
39,DevSociety,Developer's Society S.R.L,SRL,Jordan y Oquendo,4,1,devsociety@trashmail.top,,
40,DEVSOFT SRL.,Developer Software SRL,SRL,Jordan y Oquendo,2,1,devsoftsrl@trashmail.top,,
41,DevSol.SRL,DevSol.SRL,SRL,Jordan y Oquendo,2,1,devsolsrl@trashmail.top,,
42,DevSZ,Development Software Z,SRL,Jordan y Oquendo,3,1,devsz@trashmail.top,,
43,DFS SRL,"Desarrollo de Fuertes Soluciones
S.R.L.",SRL,Jordan y Oquendo,4,1,dfssrl@trashmail.top,,
44,Digital City,Digital City S.R.L.,SRL,Jordan y Oquendo,2,1,digitalcity@trashmail.top,,
45,DKS,DKS,SRL,Jordan y Oquendo,2,1,dks@trashmail.top,,
46,DS,Digital Strategies,SRL,Jordan y Oquendo,3,1,ds@trashmail.top,,
47,EDESSI,"Empresa de Desarrollo de Sistemas
y Servicios Informaticos",SRL,Jordan y Oquendo,4,1,edessi@trashmail.top,,
48,EDSI,"Empresa de Desarrollo de Sistemas
Informáticos",SRL,Jordan y Oquendo,2,1,edsi@trashmail.top,,
49,ENC,"E.N.C. ( New Computational Empire
) S.R.L.",SRL,Jordan y Oquendo,2,1,enc@trashmail.top,,
50,EPIC,EPIC SRL,SRL,Jordan y Oquendo,3,1,epic@trashmail.top,,
51,ESSI,ESSI SRL,SRL,Jordan y Oquendo,4,1,essi@trashmail.top,,
52,Falcon,Falcon Soft,SRL,Jordan y Oquendo,2,1,falcon@trashmail.top,,
53,FJSOFT,FJSOFT SRL,SRL,Jordan y Oquendo,2,1,fjsoft@trashmail.top,,
